CID	Molecule	washed	WID	mol_nHeavyAtoms	mol_MW	MID	core	core_nHeavyAtoms	core_MW
73207	COC1=C(C(=C2C(=C1O)C(=O)C=C(O2)C3=CC=C(C=C3)O)OC)OC	COc1c(OC)c(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1OC	W12	25	344	M16	COc1c(OC)c(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1OC	25	344
73571	COC1=CC(=C2C(=O)C[C@H](OC2=C1)C3=CC=C(C=C3)O)O	COc1cc(O)c2c(c1)OC(c1ccc(O)cc1)CC2=O	W13	21	286	M17	COc1cc(O)c2c(c1)OC(c1ccc(O)cc1)CC2=O	21	286
73635	COC1=C(C=CC(=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O)O)O	COc1cc(C2CC(=O)c3c(O)cc(O)cc3O2)ccc1O	W14	22	302	M18	COc1cc(C2CC(=O)c3c(O)cc(O)cc3O2)ccc1O	22	302
92503	COC1=CC(=C(C=C1)C2CC3=C(C=C(C=C3)O)OC2)O	COc1ccc(C2COc3cc(O)ccc3C2)c(O)c1	W15	20	272	M19	COc1ccc(C2COc3cc(O)ccc3C2)c(O)c1	20	272
101795	COC1=CC2=C(C=C1)[C@@H]3COC4=C([C@@H]3O2)C=CC(=C4)OC	COc1ccc2c(c1)OC1c3ccc(OC)cc3OCC21	W16	21	284	M20	COc1ccc2c(c1)OC1c3ccc(OC)cc3OCC21	21	284
364159	COC1=CC2=C(C=C1)[C@H]3COC4=C([C@H]3O2)C=CC(=C4)OC	COc1ccc2c(c1)OC1c3ccc(OC)cc3OCC21	W16	21	284	M20	COc1ccc2c(c1)OC1c3ccc(OC)cc3OCC21	21	284
454892	COC1=CC2=C(C=C1)C3COC4=C(C3O2)C=CC(=C4)OC	COc1ccc2c(c1)OC1c3ccc(OC)cc3OCC21	W16	21	284	M20	COc1ccc2c(c1)OC1c3ccc(OC)cc3OCC21	21	284
114829	C1[C@H](OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)O	O=C1CC(c2ccc(O)cc2)Oc2cc(O)ccc21	W17	19	256	M21	O=C1CC(c2ccc(O)cc2)Oc2cc(O)ccc21	19	256
117900	COC1=CC2=C(C(=C1)OC)C(=O)C(=C(O2)C3=CC=CC=C3)OC	COc1cc(OC)c2c(=O)c(OC)c(-c3ccccc3)oc2c1	W18	23	312	M22	COc1cc(OC)c2c(=O)c(OC)coc2c1	17	236
117900	COC1=CC2=C(C(=C1)OC)C(=O)C(=C(O2)C3=CC=CC=C3)OC	COc1cc(OC)c2c(=O)c(OC)c(-c3ccccc3)oc2c1	W18	23	312	M23	COc1cc(OC)c2c(=O)c(OC)c(-c3ccccc3)oc2c1	23	312
147459	COC1=CC(=CC2=C1C(=O)[C@@H]([C@H](O2)C3=CC=CC=C3)O)O	COc1cc(O)cc2c1C(=O)C(O)C(c1ccccc1)O2	W19	21	286	M24	COc1cc(O)cc2c1C(=O)C(O)C(c1ccccc1)O2	21	286
148556	CC(=O)O[C@@H]1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3	CC(=O)OC1C(=O)c2c(O)cc(O)cc2OC1c1ccccc1	W20	23	314	M25	CC(=O)OC1C(=O)c2c(O)cc(O)cc2OC1c1ccccc1	23	314
9839825	CC(=O)OC1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3	CC(=O)OC1C(=O)c2c(O)cc(O)cc2OC1c1ccccc1	W20	23	314	M25	CC(=O)OC1C(=O)c2c(O)cc(O)cc2OC1c1ccccc1	23	314
154279	COC1=CC(=CC2=C1C(=O)C[C@H](O2)C3=CC=CC=C3)O	COc1cc(O)cc2c1C(=O)CC(c1ccccc1)O2	W21	20	270	M26	COc1cc(O)cc2c1C(=O)CC(c1ccccc1)O2	20	270
155094	CC(=CCC1=C(C2=C(C=C1O)O[C@@H](CC2=O)C3=CC=C(C=C3)O)O)C	CC(C)=CCc1c(O)cc2c(c1O)C(=O)CC(c1ccc(O)cc1)O2	W22	25	340	M27	CCc1c(O)cc2c(c1O)C(=O)CC(c1ccc(O)cc1)O2	22	300
155094	CC(=CCC1=C(C2=C(C=C1O)O[C@@H](CC2=O)C3=CC=C(C=C3)O)O)C	CC(C)=CCc1c(O)cc2c(c1O)C(=O)CC(c1ccc(O)cc1)O2	W22	25	340	M28	CC(C)=CCc1c(O)cc2c(c1O)C(=O)CC(c1ccc(O)cc1)O2	25	340
160481	COC1=CC=C(C=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O)O	COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1	W23	21	286	M29	COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1	21	286
161271	COC1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC)OC)O	COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1	W24	24	328	M30	COc1cc2occc(=O)c2c(O)c1OC	16	222
161271	COC1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)OC)OC)O	COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1	W24	24	328	M31	COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1	24	328
182239	COC1=CC(=C2C(=O)CC(OC2=C1)(C3=CC=CC=C3)O)O	COc1cc(O)c2c(c1)OC(O)(c1ccccc1)CC2=O	W25	21	286	M32	COc1cc(O)c2c(c1)OC(O)(c1ccccc1)CC2=O	21	286
188316	COC1=C(C2=C(C(=C1)O)C(=O)C=C(O2)C3=CC=CC=C3)OC	COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1OC	W26	22	298	M33	COc1cc(O)c2c(=O)ccoc2c1OC	16	222
188316	COC1=C(C2=C(C(=C1)O)C(=O)C=C(O2)C3=CC=CC=C3)OC	COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1OC	W26	22	298	M34	COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1OC	22	298
220401	CN[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC	CNC1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(OC)c(=O)cc21	W27	27	371	M35	CNC1CCc2cc(OC)c(OC)c(OC)c2-c2ccc(OC)c(=O)cc21	27	371
261859	COC1=CC(=CC(=C1OC)OC)C2=CC(=O)C3=C(C(=C(C(=C3O2)OC)OC)OC)O	COc1cc(-c2cc(=O)c3c(O)c(OC)c(OC)c(OC)c3o2)cc(OC)c1OC	W28	30	418	M36	COc1cc(-c2cc(=O)c3c(O)c(OC)c(OC)c(OC)c3o2)cc(OC)c1OC	30	418
336327	COC1=CC2=C(C=C1)[C@@H]3COC4=C([C@@H]3O2)C=CC(=C4)O	COc1ccc2c(c1)OC1c3ccc(O)cc3OCC21	W29	20	270	M37	COc1ccc2c(c1)OC1c3ccc(O)cc3OCC21	20	270
439310	COC1=CC(=C(C=C1)[C@@H]2COC3=C(C2=O)C=CC(=C3)O)O	COc1ccc(C2COc3cc(O)ccc3C2=O)c(O)c1	W30	21	286	M38	COc1ccc(C2COc3cc(O)ccc3C2=O)c(O)c1	21	286
44446897	COC1=CC(=C(C=C1)[C@H]2COC3=C(C2=O)C=CC(=C3)O)O	COc1ccc(C2COc3cc(O)ccc3C2=O)c(O)c1	W30	21	286	M38	COc1ccc(C2COc3cc(O)ccc3C2=O)c(O)c1	21	286
439533	C1=CC(=C(C=C1[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O	O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O	W31	22	304	M39	O=C1c2c(O)cc(O)cc2OC(c2ccc(O)c(O)c2)C1O	22	304
439784	COC1=CC=C(C=C1)C2COC3=CC(=CC(=C3C2=O)O)O	COc1ccc(C2COc3cc(O)cc(O)c3C2=O)cc1	W32	21	286	M40	COc1ccc(C2COc3cc(O)cc(O)c3C2=O)cc1	21	286
440735	C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O	O=C1CC(c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21	W33	21	288	M41	O=C1CC(c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21	21	288
442410	C1=CC(=CC=C1[C@@H]2[C@H](C(=O)C3=C(O2)C=C(C=C3)O)O)O	O=C1c2ccc(O)cc2OC(c2ccc(O)cc2)C1O	W34	20	272	M42	O=C1c2ccc(O)cc2OC(c2ccc(O)cc2)C1O	20	272
