CID,Molecule
676946,CCOC(=O)/C=C/C1=CC=C(C=C1)O
689043,C1=CC(=C(C=C1/C=C/C(=O)O)O)O
689075,COC(=O)/C=C/C1=CC(=C(C=C1)O)O
699414,COC1=CC=C(C=C1)/C=C/C(=O)O
717531,COC1=C(C=C(C=C1)/C=C/C(=O)O)OC
736186,COC1=C(C=C(C=C1)/C=C/C(=O)O)O
736681,CCOC(=O)/C=C/C1=CC(=C(C=C1)O)OC
853433,C/C=C/C1=CC(=C(C=C1)O)OC
1548883,COC1=C(C=CC(=C1)/C=C\C(=O)O)O
1549040,C/C=C\C1=CC=C(C=C1)OC
1549045,C/C=C\C1=CC(=C(C=C1)OC)OC
1549095,COC1=C(C=CC(=C1)/C=C/CO)O
1549106,C1=CC(=CC=C1/C=C\C(=O)O)O
1549512,C1=CC=C(C=C1)/C=C/C=C/C(=O)O
5280536,COC1=C(C=CC(=C1)/C=C/C=O)O
5281426,C1=CC(=CC2=C1C=CC(=O)O2)O
5282110,CC(=O)OC/C=C/C1=CC=CC=C1
5283321,CC/C=C/C=C/C=O
5315892,C1=CC=C(C=C1)/C=C/CO
5317238,CCOC(=O)/C=C/C1=CC(=C(C=C1)O)O
5319562,COC(=O)/C=C/C1=CC=C(C=C1)O
5354883,C1=CC=C(C=C1)/C=C/COC=O
5357283,COC1=C(C=CC(=C1)/C=C/C(=O)OC)O
5366702,COC(=O)/C=C/C1=CC(=C(C=C1)O[Si](C)(C)C)O[Si](C)(C)C
5370650,C1=CC=C(C=C1)/C=C/CCC(=O)O
5378106,COC1=C(C=C(C=C1)/C=C/C(=O)O[Si](C)(C)C)OC
5379186,COC1=C(C=CC(=C1)/C=C/C(=O)O[Si](C)(C)C)O[Si](C)(C)C
6428995,C1=CC=C(C=C1)/C=C\C=O
9991705,CCCCOC(=O)/C=C/C1=CC(=C(C=C1)O)O
10264116,CC(C)CCOC(=O)/C=C/C1=CC(=C(C=C1)O)O
11020460,COC(=O)CC(=O)CC(C1=CC=CC=C1)O
13430153,CCCCOC(=O)/C=C/C1=CC=C(C=C1)O
14237599,CC(=C)CCOC(=O)/C=C/C1=CC(=C(C=C1)O)O
14237601,CC(=C)CCOC(=O)/C=C/C1=CC(=C(C=C1)O)OC
15086370,CCCCCOC(=O)/C=C/C1=CC(=C(C=C1)O)O
54691412,C1=CC(=C(C=C1/C=C/C(=O)O)O)[O-]
54708745,C1=CC(=CC=C1/C=C/C(=O)O)[O-]
2345,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2
7194,C1=CC=C(C=C1)CCOC(=O)C2=CC=CC=C2
8363,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2O
11502,C1=CC=C(C=C1)C=CC2=CC=CC=C2
108042,C1=CC=C(C=C1)CCOC(=O)C=CC2=CC(=C(C=C2)O)O
520616,C1=CC=C(C=C1)C2=CC(=CS2)C3=CC=CC=C3
555844,C1CN(N=C1C2=CC=CC=C2[N+](=O)[O-])C3=CC=CC=C3
584904,COC1=CC=CC=C1C(=O)OCC2=CC=CC=C2
637760,C1=CC=C(C=C1)/C=C/C(=O)C2=CC=CC=C2
638088,C1=CC=C(C=C1)/C=C/C2=CC=CC=C2
1550890,C1=CC=C(C=C1)/C=C/COC(=O)/C=C/C2=CC=CC=C2
5273469,C1=CC=C(C=C1)COC(=O)/C=C/C2=CC=CC=C2
5281787,C1=CC=C(C=C1)CCOC(=O)/C=C/C2=CC(=C(C=C2)O)O
5331913,CC1=CC=C(C=C1)C(=O)N/N=C/C2=CC=CC=C2
5352718,COC1=CC=C(C=C1)/C=C/COC(=O)/C=C/C2=CC=CC=C2
5705112,C1=CC=C(C=C1)/C=C/COC(=O)C2=CC=CC=C2
5910817,C1=CC=C(C=C1)OC(=O)/C=C/C2=CC(=C(C=C2)O)O
5919576,C1=CC=C(C=C1)COC(=O)/C=C/C2=CC(=C(C=C2)O)O
6441293,COC1=C(C=CC(=C1)/C=C/COC(=O)C2=CC=CC=C2)O
6441913,COC1=C(C=CC(=C1)/C=C/COC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O
7766335,COC1=C(C=CC(=C1)/C=C/C(=O)OCC2=CC=CC=C2)O
10083644,C1=CC=C(C=C1)COC(=O)/C=C/C2=CC=C(C=C2)O
11380911,C1=CC=C(C=C1)/C=C/COC(=O)/C=C/C2=CC(=C(C=C2)O)O
56627505,C1=CC=C(C=C1)COC(=O)C=CC2=CC=C(C=C2)O
92017879,C1=CC=C(C=C1)C=CCOC(=O)/C=C/C2=CC=C(C=C2)O
129738065,C1=CC=C(C=C1)C=CCOC(=O)/C=C/C2=CC(=C(C=C2)O)O
145707178,C1CC(=CC=C1)C=CC(=O)OC2=CC=C(C=C2)/C=C/C(=O)O
146015185,CC(=O)C(O)C(O)C(O)(C(=O)/C=C/C1=CC=C(C=C1)O)C(=O)/C=C/C2=CC=C(C=C2)O
