ASID	WID
AS962	W873
AS963	W909
AS964	W0
AS965	W1050
AS966	W884
AS967	W911
AS968	W995
AS969	W996
AS970	W1046
AS971	W1026
AS972	W1019
AS973	W999
AS974	W1013
AS975	W983
AS976	W982
AS977	W988
AS978	W912
AS979	W1041
AS980	W1064
AS981	W891
AS982	W882
AS983	W1061
AS984	W1198
AS985	W1195
AS986	W1196
AS987	W1200
AS988	W1060
AS989	W1201
AS990	W1194
AS991	W1193
AS992	W1203
AS993	W1178
AS994	W937
AS995	W990
AS996	W1045
AS997	W977
AS998	W907
AS999	W1057
AS1000	W1044
AS1001	W1051
AS1002	W1008
AS1003	W1018
AS1004	W989
AS1005	W1062
AS1006	W890
AS1007	W1012
AS1008	W1039
AS1009	W926
AS1010	W976
AS1011	W874
AS1012	W1
AS1013	W947
AS1014	W876
AS1015	W920
AS1016	W916
AS1017	W922
AS1018	W919
AS1019	W914
